,Images,IoU Count,Label
0,0,9.0,1
1,1,2.0,1
2,2,10.0,3
3,3,4.0,3
4,4,11.0,0
5,5,2.0,7
6,6,9.0,5
7,7,5.0,2
8,8,6.0,5
9,9,1.0,2
10,10,4.0,2
11,11,6.0,3
12,12,14.0,6
13,13,6.0,3
14,14,6.0,6
15,15,12.0,2
16,16,6.0,1
17,17,0.0,3
18,18,7.0,0
19,19,14.0,10
20,20,4.0,11
21,21,6.0,0
22,22,0.0,3
23,23,15.0,0
24,24,4.0,5
25,25,3.0,3
26,26,1.0,4
27,27,3.0,0
28,28,6.0,0
29,29,0.0,0
30,30,2.0,1
31,31,7.0,3
32,32,6.0,5
33,33,9.0,0
34,34,1.0,3
35,35,6.0,3
36,36,4.0,22
37,37,3.0,1
38,38,2.0,3
39,39,6.0,1
40,40,7.0,1
41,41,6.0,2
42,42,5.0,1
43,43,3.0,0
44,44,10.0,4
45,45,1.0,13
46,46,0.0,0
47,47,3.0,0
48,48,7.0,0
49,49,7.0,1
50,50,9.0,0
51,51,7.0,3
52,52,7.0,4
53,53,5.0,8
54,54,1.0,1
55,55,10.0,3
56,56,6.0,14
57,57,2.0,1
58,58,5.0,1
59,59,14.0,1
60,60,7.0,0
61,61,2.0,3
62,62,5.0,1
63,63,1.0,5
64,64,3.0,0
65,65,0.0,1
66,66,6.0,9
67,67,17.0,1
68,68,2.0,7
69,69,1.0,2
70,70,13.0,19
71,71,1.0,0
72,72,4.0,2
73,73,12.0,1
74,74,2.0,4
75,75,4.0,0
76,76,9.0,1
77,77,3.0,3
78,78,3.0,0
79,79,7.0,5
80,80,2.0,1
81,81,7.0,3
82,82,9.0,3
83,83,18.0,1
84,84,11.0,1
85,85,3.0,2
86,86,9.0,2
87,87,13.0,4
88,88,10.0,1
89,89,8.0,1
90,90,8.0,19
91,91,3.0,2
92,92,3.0,1
93,93,4.0,0
94,94,12.0,2
95,95,7.0,3
96,96,5.0,0
97,97,6.0,1
98,98,4.0,10
99,99,12.0,1
100,100,18.0,5
101,101,0.0,7
102,102,13.0,0
103,103,11.0,7
104,104,6.0,0
105,105,9.0,0
106,106,5.0,2
107,107,0.0,4
108,108,2.0,12
109,109,13.0,3
110,110,0.0,1
111,111,5.0,15
112,112,16.0,2
113,113,6.0,2
114,114,7.0,1
115,115,14.0,3
116,116,2.0,2
117,117,1.0,9
118,118,3.0,5
119,119,9.0,3
120,120,10.0,17
121,121,9.0,5
122,122,12.0,15
123,123,4.0,0
124,124,0.0,2
125,125,2.0,3
126,126,8.0,1
127,127,6.0,0
128,128,9.0,2
129,129,3.0,0
130,130,2.0,11
131,131,7.0,1
132,132,10.0,2
133,133,4.0,2
134,134,2.0,1
135,135,0.0,7
136,136,15.0,0
137,137,9.0,1
138,138,8.0,26
139,139,8.0,2
140,140,3.0,1
141,141,4.0,1
142,142,0.0,2
143,143,1.0,1
144,144,7.0,11
145,145,0.0,4
146,146,0.0,1
147,147,3.0,24
148,148,12.0,1
149,149,1.0,2
150,150,9.0,4
151,151,2.0,0
152,152,7.0,2
153,153,6.0,0
154,154,2.0,10
155,155,9.0,26
156,156,5.0,1
157,157,8.0,1
158,158,11.0,0
159,159,0.0,0
160,160,10.0,10
161,161,26.0,0
162,162,18.0,1
163,163,1.0,2
164,164,0.0,0
165,165,11.0,4
166,166,2.0,4
167,167,9.0,1
168,168,11.0,7
169,169,0.0,3
170,170,6.0,2
171,171,15.0,1
172,172,1.0,0
173,173,14.0,1
174,174,9.0,1
175,175,14.0,0
176,176,9.0,1
177,177,0.0,3
178,178,8.0,0
179,179,3.0,20
180,180,7.0,4
181,181,5.0,10
182,182,3.0,2
183,183,20.0,14
184,184,1.0,24
185,185,8.0,6
186,186,3.0,0
187,187,1.0,2
188,188,0.0,2
189,189,2.0,0
190,190,4.0,3
191,191,13.0,1
192,192,10.0,1
193,193,6.0,3
194,194,12.0,0
195,195,5.0,4
196,196,12.0,1
197,197,10.0,2
198,198,6.0,4
199,199,19.0,10
200,200,11.0,5
201,201,1.0,0
202,202,13.0,6
203,203,2.0,2
204,204,9.0,1
205,205,2.0,0
206,206,0.0,0
207,207,5.0,1
208,208,3.0,2
209,209,1.0,1
210,210,3.0,0
211,211,2.0,1
212,212,22.0,9
213,213,12.0,6
214,214,3.0,1
215,215,0.0,2
216,216,5.0,5
217,217,1.0,13
218,218,14.0,3
219,219,1.0,1
220,220,11.0,1
221,221,12.0,5
222,222,0.0,3
223,223,6.0,6
224,224,0.0,1
225,225,5.0,5
226,226,3.0,5
227,227,9.0,9
