,Images,IoU Count,Label
0,0,8.0,1
1,1,2.0,1
2,2,11.0,3
3,3,3.0,3
4,4,8.0,0
5,5,3.0,7
6,6,2.0,5
7,7,5.0,2
8,8,5.0,5
9,9,1.0,2
10,10,3.0,2
11,11,1.0,3
12,12,3.0,6
13,13,4.0,3
14,14,0.0,6
15,15,4.0,2
16,16,3.0,1
17,17,0.0,3
18,18,7.0,0
19,19,5.0,10
20,20,1.0,11
21,21,1.0,0
22,22,0.0,3
23,23,8.0,0
24,24,3.0,5
25,25,3.0,3
26,26,0.0,4
27,27,2.0,0
28,28,3.0,0
29,29,0.0,0
30,30,2.0,1
31,31,4.0,3
32,32,5.0,5
33,33,7.0,0
34,34,1.0,3
35,35,1.0,3
36,36,3.0,22
37,37,1.0,1
38,38,2.0,3
39,39,4.0,1
40,40,3.0,1
41,41,4.0,2
42,42,2.0,1
43,43,2.0,0
44,44,3.0,4
45,45,1.0,13
46,46,0.0,0
47,47,2.0,0
48,48,7.0,0
49,49,8.0,1
50,50,7.0,0
51,51,4.0,3
52,52,7.0,4
53,53,4.0,8
54,54,1.0,1
55,55,6.0,3
56,56,3.0,14
57,57,2.0,1
58,58,3.0,1
59,59,3.0,1
60,60,6.0,0
61,61,1.0,3
62,62,1.0,1
63,63,1.0,5
64,64,3.0,0
65,65,0.0,1
66,66,3.0,9
67,67,7.0,1
68,68,2.0,7
69,69,1.0,2
70,70,11.0,19
71,71,1.0,0
72,72,3.0,2
73,73,7.0,1
74,74,1.0,4
75,75,2.0,0
76,76,8.0,1
77,77,5.0,3
78,78,3.0,0
79,79,1.0,5
80,80,1.0,1
81,81,5.0,3
82,82,6.0,3
83,83,14.0,1
84,84,8.0,1
85,85,2.0,2
86,86,7.0,2
87,87,6.0,4
88,88,10.0,1
89,89,7.0,1
90,90,2.0,19
91,91,3.0,2
92,92,3.0,1
93,93,3.0,0
94,94,4.0,2
95,95,7.0,3
96,96,5.0,0
97,97,4.0,1
98,98,3.0,10
99,99,6.0,1
100,100,10.0,5
101,101,0.0,7
102,102,9.0,0
103,103,5.0,7
104,104,3.0,0
105,105,2.0,0
106,106,2.0,2
107,107,0.0,4
108,108,1.0,12
109,109,0.0,3
110,110,0.0,1
111,111,3.0,15
112,112,12.0,2
113,113,5.0,2
114,114,7.0,1
115,115,12.0,3
116,116,2.0,2
117,117,1.0,9
118,118,1.0,5
119,119,5.0,3
120,120,9.0,17
121,121,9.0,5
122,122,9.0,15
123,123,3.0,0
124,124,0.0,2
125,125,2.0,3
126,126,6.0,1
127,127,4.0,0
128,128,7.0,2
129,129,3.0,0
130,130,3.0,11
131,131,7.0,1
132,132,7.0,2
133,133,1.0,2
134,134,3.0,1
135,135,0.0,7
136,136,8.0,0
137,137,5.0,1
138,138,8.0,26
139,139,4.0,2
140,140,1.0,1
141,141,3.0,1
142,142,0.0,2
143,143,1.0,1
144,144,7.0,11
145,145,0.0,4
146,146,0.0,1
147,147,2.0,24
148,148,0.0,1
149,149,1.0,2
150,150,10.0,4
151,151,1.0,0
152,152,5.0,2
153,153,4.0,0
154,154,2.0,10
155,155,7.0,26
156,156,2.0,1
157,157,4.0,1
158,158,5.0,0
159,159,0.0,0
160,160,2.0,10
161,161,20.0,0
162,162,0.0,1
163,163,0.0,2
164,164,0.0,0
165,165,7.0,4
166,166,2.0,4
167,167,5.0,1
168,168,13.0,7
169,169,1.0,3
170,170,6.0,2
171,171,10.0,1
172,172,1.0,0
173,173,7.0,1
174,174,2.0,1
